country,category,name,field,symbol,currency,file
Japan,sectors,Construction_Materials,etf,1619.T,JPY,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1619.T.csv
Japan,sectors,Raw_Materials_Chemicals,etf,1620.T,JPY,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1620.T.csv
Japan,sectors,Pharmaceuticals,etf,1621.T,JPY,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1621.T.csv
Japan,sectors,Autos_Transport_Equip,etf,1622.T,JPY,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1622.T.csv
Japan,sectors,Steel_Nonferrous,etf,1623.T,JPY,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1623.T.csv
Japan,sectors,Machinery,etf,1624.T,JPY,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1624.T.csv
Japan,sectors,Electric_Precision,etf,1625.T,JPY,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1625.T.csv
Japan,sectors,IT_Services_Others,etf,1626.T,JPY,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1626.T.csv
Japan,sectors,Electric_Power_Gas,etf,1627.T,JPY,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1627.T.csv
Japan,sectors,Transportation_Logistics,etf,1628.T,JPY,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1628.T.csv
Japan,sectors,Commercial_Wholesale,etf,1629.T,JPY,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1629.T.csv
Japan,sectors,Retail_Trade,etf,1630.T,JPY,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1630.T.csv
Japan,sectors,Banks,etf,1631.T,JPY,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1631.T.csv
Japan,sectors,Financials_ex_Banks,etf,1632.T,JPY,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1632.T.csv
Japan,sectors,Real_Estate,etf,1633.T,JPY,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1633.T.csv
Japan,factors,Small_Cap,etf,SCJ,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/SCJ.csv
Japan,factors,Value,etf,EWJV,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/EWJV.csv
China,sectors,Broad_Market,etf,FXI,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/FXI.csv
China,sectors,Technology,etf,CQQQ,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/CQQQ.csv
China,sectors,Consumer,etf,CHIQ,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/CHIQ.csv
China,sectors,Cons_Staples,etf,CHIS,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/CHIS.csv
China,sectors,Financials,etf,CHIX,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/CHIX.csv
China,sectors,Industrials,etf,CHII,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/CHII.csv
China,sectors,Materials,etf,CHIM,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/CHIM.csv
China,sectors,Energy,etf,CHIE,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/CHIE.csv
China,sectors,Utilities,etf,CHIU,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/CHIU.csv
China,sectors,Comm_Services,etf,CHIC,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/CHIC.csv
China,sectors,Real_Estate,etf,CHIR,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/CHIR.csv
China,sectors,Healthcare,etf,CHIH,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/CHIH.csv
China,factors,Small_Cap,etf,ECNS,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/ECNS.csv
China,factors,A_Shares,etf,ASHR,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/ASHR.csv
China,factors,CSI_300,index,000300.SS,CNY,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/000300.SS.csv
China,factors,Growth,etf,CNXT,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/CNXT.csv
Canada,sectors,Broad_Market,index,^GSPTSE,CAD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IDX_GSPTSE.csv
Brazil,sectors,Broad_Market,index,^BVSP,BRL,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IDX_BVSP.csv
Global_ExUS,sectors,Broad_Market,etf,ACWX,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/ACWX.csv
Singapore,sectors,Broad_Market,etf,EWS,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/EWS.csv
Indonesia,sectors,Broad_Market,etf,EIDO,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/EIDO.csv
Thailand,sectors,Broad_Market,etf,THD,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/THD.csv
Malaysia,sectors,Broad_Market,etf,EWM,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/EWM.csv
India,sectors,Broad_Market,index,^NSEI,INR,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IDX_NSEI.csv
India,sectors,Financials,etf,INDF,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/INDF.csv
India,sectors,Consumer,etf,INCO,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/INCO.csv
India,sectors,Technology,etf,INQQ,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/INQQ.csv
India,sectors,Small_Cap,etf,SMIN,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/SMIN.csv
India,sectors,Value(Proxy),etf,EPI,USD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/EPI.csv
UK,sectors,Broad_Market,index,^FTSE,GBP,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IDX_FTSE.csv
France,sectors,Broad_Market,index,^FCHI,EUR,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IDX_FCHI.csv
Italy,sectors,Broad_Market,index,FTSEMIB.MI,EUR,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/FTSEMIB.MI.csv
Spain,sectors,Broad_Market,index,^IBEX,EUR,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IDX_IBEX.csv
Taiwan,sectors,Broad_Market,index,^TWII,TWD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IDX_TWII.csv
Hong_Kong,sectors,Broad_Market,index,^HSI,HKD,/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/IDX_HSI.csv
